"ID","Height_Ext","Length_Ext","Width_Ext","Thick","Volume_Intermal","Price_RRC"
"2.2_1.36_1.36_80","2.2","1.36","1.36","80","2.94","108043"
"2.2_1.36_1.66_80","2.2","1.36","1.66","80","3.67","126748"
"2.2_1.36_1.96_80","2.2","1.36","1.96","80","4.41","129771"
"2.2_1.36_2.26_80","2.2","1.36","2.26","80","5.14","142790"
"2.2_1.36_2.4_80","2.2","1.36","2.4","80","5.48","148563"
"2.2_1.36_2.56_80","2.2","1.36","2.56","80","5.88","154087"
"2.2_1.36_2.7_80","2.2","1.36","2.7","80","6.22","159275"
"2.2_1.36_2.86_80","2.2","1.36","2.86","80","6.61","169809"
"2.2_1.36_3_80","2.2","1.36","3","80","6.95","182406"
"2.2_1.36_3.16_80","2.2","1.36","3.16","80","7.34","188537"
"2.2_1.36_3.3_80","2.2","1.36","3.3","80","7.69","193900"
"2.2_1.36_3.46_80","2.2","1.36","3.46","80","8.08","200031"
"2.2_1.36_3.6_80","2.2","1.36","3.6","80","8.42","205395"
"2.2_1.36_3.76_80","2.2","1.36","3.76","80","8.81","211524"
"2.2_1.36_3.9_80","2.2","1.36","3.9","80","9.16","216889"
"2.2_1.36_4.06_80","2.2","1.36","4.06","80","9.55","223019"
"2.2_1.36_4.2_80","2.2","1.36","4.2","80","9.89","228383"
"2.2_1.66_1.66_80","2.2","1.66","1.66","80","4.59","137005"
"2.2_1.66_1.96_80","2.2","1.66","1.96","80","5.51","145367"
"2.2_1.66_2.26_80","2.2","1.66","2.26","80","6.43","168611"
"2.2_1.66_2.4_80","2.2","1.66","2.4","80","6.85","167169"
"2.2_1.66_2.56_80","2.2","1.66","2.56","80","7.34","169979"
"2.2_1.66_2.7_80","2.2","1.66","2.7","80","7.77","195622"
"2.2_1.66_2.86_80","2.2","1.66","2.86","80","8.26","188424"
"2.2_1.66_3_80","2.2","1.66","3","80","8.69","192391"
"2.2_1.66_3.16_80","2.2","1.66","3.16","80","9.18","202306"
"2.2_1.66_3.3_80","2.2","1.66","3.3","80","9.61","211810"
"2.2_1.66_3.46_80","2.2","1.66","3.46","80","10.1","214832"
"2.2_1.66_3.6_80","2.2","1.66","3.6","80","10.53","218603"
"2.2_1.66_3.76_80","2.2","1.66","3.76","80","11.02","230971"
"2.2_1.66_3.9_80","2.2","1.66","3.9","80","11.44","236800"
"2.2_1.66_4.06_80","2.2","1.66","4.06","80","11.93","243459"
"2.2_1.66_4.2_80","2.2","1.66","4.2","80","12.36","249286"
"2.2_1.66_4.36_80","2.2","1.66","4.36","80","12.85","255947"
"2.2_1.66_4.5_80","2.2","1.66","4.5","80","13.28","261774"
"2.2_1.96_1.96_80","2.2","1.96","1.96","80","6.61","163253"
"2.2_1.96_2.26_80","2.2","1.96","2.26","80","7.71","177646"
"2.2_1.96_2.4_80","2.2","1.96","2.4","80","8.23","182131"
"2.2_1.96_2.56_80","2.2","1.96","2.56","80","8.81","197484"
"2.2_1.96_2.7_80","2.2","1.96","2.7","80","9.33","199243"
"2.2_1.96_2.86_80","2.2","1.96","2.86","80","9.91","200446"
"2.2_1.96_3_80","2.2","1.96","3","80","10.43","212459"
"2.2_1.96_3.16_80","2.2","1.96","3.16","80","11.02","219237"
"2.2_1.96_3.3_80","2.2","1.96","3.3","80","11.53","225095"
"2.2_1.96_3.46_80","2.2","1.96","3.46","80","12.12","231264"
"2.2_1.96_3.6_80","2.2","1.96","3.6","80","12.63","235414"
"2.2_1.96_3.76_80","2.2","1.96","3.76","80","13.22","238817"
"2.2_1.96_3.9_80","2.2","1.96","3.9","80","13.73","249142"
"2.2_1.96_4.06_80","2.2","1.96","4.06","80","14.32","245259"
"2.2_1.96_4.2_80","2.2","1.96","4.2","80","14.83","270421"
"2.2_1.96_4.36_80","2.2","1.96","4.36","80","15.42","273993"
"2.2_1.96_4.5_80","2.2","1.96","4.5","80","15.94","281936"
"2.2_1.96_4.66_80","2.2","1.96","4.66","80","16.52","287563"
"2.2_1.96_4.8_80","2.2","1.96","4.8","80","17.04","294890"
"2.2_2.26_2.26_80","2.2","2.26","2.26","80","9","197483"
"2.2_2.26_2.4_80","2.2","2.26","2.4","80","9.6","204239"
"2.2_2.26_2.56_80","2.2","2.26","2.56","80","10.28","211959"
"2.2_2.26_2.7_80","2.2","2.26","2.7","80","10.88","218714"
"2.2_2.26_2.86_80","2.2","2.26","2.86","80","11.57","226436"
"2.2_2.26_3_80","2.2","2.26","3","80","12.17","233191"
"2.2_2.26_3.16_80","2.2","2.26","3.16","80","12.85","240911"
"2.2_2.26_3.3_80","2.2","2.26","3.3","80","13.45","247668"
"2.2_2.26_3.46_80","2.2","2.26","3.46","80","14.14","255388"
"2.2_2.26_3.6_80","2.2","2.26","3.6","80","14.74","262143"
"2.2_2.26_3.76_80","2.2","2.26","3.76","80","15.42","269865"
"2.2_2.26_3.9_80","2.2","2.26","3.9","80","16.02","276620"
"2.2_2.26_4.06_80","2.2","2.26","4.06","80","16.71","284340"
"2.2_2.26_4.2_80","2.2","2.26","4.2","80","17.31","291096"
"2.2_2.26_4.36_80","2.2","2.26","4.36","80","17.99","298817"
"2.2_2.26_4.5_80","2.2","2.26","4.5","80","18.59","305572"
"2.2_2.26_4.66_80","2.2","2.26","4.66","80","19.28","313292"
"2.2_2.26_4.8_80","2.2","2.26","4.8","80","19.88","320048"
"2.2_2.26_4.96_80","2.2","2.26","4.96","80","20.56","327769"
"2.2_2.26_5.1_80","2.2","2.26","5.1","80","21.16","334525"
"2.2_2.4_2.4_80","2.2","2.4","2.4","80","10.24","211211"
"2.2_2.4_2.56_80","2.2","2.4","2.56","80","10.97","219179"
"2.2_2.4_2.7_80","2.2","2.4","2.7","80","11.61","226151"
"2.2_2.4_2.86_80","2.2","2.4","2.86","80","12.34","234119"
"2.2_2.4_3_80","2.2","2.4","3","80","12.98","241091"
"2.2_2.4_3.16_80","2.2","2.4","3.16","80","13.71","249059"
"2.2_2.4_3.3_80","2.2","2.4","3.3","80","14.35","256031"
"2.2_2.4_3.46_80","2.2","2.4","3.46","80","15.08","264000"
"2.2_2.4_3.6_80","2.2","2.4","3.6","80","15.72","270971"
"2.2_2.4_3.76_80","2.2","2.4","3.76","80","16.45","279885"
"2.2_2.4_3.9_80","2.2","2.4","3.9","80","17.09","285912"
"2.2_2.4_4.06_80","2.2","2.4","4.06","80","17.82","293879"
"2.2_2.4_4.2_80","2.2","2.4","4.2","80","18.46","300851"
"2.2_2.4_4.36_80","2.2","2.4","4.36","80","19.19","308819"
"2.2_2.4_4.5_80","2.2","2.4","4.5","80","19.83","315791"
"2.2_2.4_4.66_80","2.2","2.4","4.66","80","20.56","323759"
"2.2_2.4_4.8_80","2.2","2.4","4.8","80","21.2","330731"
"2.2_2.4_4.96_80","2.2","2.4","4.96","80","21.93","338700"
"2.2_2.4_5.1_80","2.2","2.4","5.1","80","22.57","345671"
"2.2_2.4_5.26_80","2.2","2.4","5.26","80","23.3","353640"
"2.2_2.56_2.56_80","2.2","2.56","2.56","80","11.75","224064"
"2.2_2.56_2.7_80","2.2","2.56","2.7","80","12.44","234649"
"2.2_2.56_2.86_80","2.2","2.56","2.86","80","13.22","242900"
"2.2_2.56_3_80","2.2","2.56","3","80","13.9","250120"
"2.2_2.56_3.16_80","2.2","2.56","3.16","80","14.69","258370"
"2.2_2.56_3.3_80","2.2","2.56","3.3","80","15.37","265589"
"2.2_2.56_3.46_80","2.2","2.56","3.46","80","16.16","273841"
"2.2_2.56_3.6_80","2.2","2.56","3.6","80","16.84","295926"
"2.2_2.56_3.76_80","2.2","2.56","3.76","80","17.63","289311"
"2.2_2.56_3.9_80","2.2","2.56","3.9","80","18.31","296530"
"2.2_2.56_4.06_80","2.2","2.56","4.06","80","19.09","304780"
"2.2_2.56_4.2_80","2.2","2.56","4.2","80","19.78","312000"
"2.2_2.56_4.36_80","2.2","2.56","4.36","80","20.56","320251"
"2.2_2.56_4.5_80","2.2","2.56","4.5","80","21.25","327471"
"2.2_2.56_4.66_80","2.2","2.56","4.66","80","22.03","335721"
"2.2_2.56_4.8_80","2.2","2.56","4.8","80","22.72","342941"
"2.2_2.56_4.96_80","2.2","2.56","4.96","80","23.5","351192"
"2.2_2.56_5.1_80","2.2","2.56","5.1","80","24.19","358412"
"2.2_2.56_5.26_80","2.2","2.56","5.26","80","24.97","366662"
"2.2_2.56_5.4_80","2.2","2.56","5.4","80","25.66","373881"
"2.2_2.56_5.56_80","2.2","2.56","5.56","80","26.44","382132"
"2.2_2.56_5.7_80","2.2","2.56","5.7","80","27.12","389351"
"2.2_2.56_5.86_80","2.2","2.56","5.86","80","27.91","397603"
"2.2_2.7_2.7_80","2.2","2.7","2.7","80","13.16","242085"
"2.2_2.7_2.86_80","2.2","2.7","2.86","80","13.99","250583"
"2.2_2.7_3_80","2.2","2.7","3","80","14.72","258020"
"2.2_2.7_3.16_80","2.2","2.7","3.16","80","15.54","266517"
"2.2_2.7_3.3_80","2.2","2.7","3.3","80","16.27","273954"
"2.2_2.7_3.46_80","2.2","2.7","3.46","80","17.1","282451"
"2.2_2.7_3.6_80","2.2","2.7","3.6","80","17.82","289888"
"2.2_2.7_3.76_80","2.2","2.7","3.76","80","18.65","298386"
"2.2_2.7_3.9_80","2.2","2.7","3.9","80","19.38","305822"
"2.2_2.7_4.06_80","2.2","2.7","4.06","80","20.21","314320"
"2.2_2.7_4.2_80","2.2","2.7","4.2","80","20.93","321756"
"2.2_2.7_4.36_80","2.2","2.7","4.36","80","21.76","330254"
"2.2_2.7_4.5_80","2.2","2.7","4.5","80","22.49","337689"
"2.2_2.7_4.66_80","2.2","2.7","4.66","80","23.32","346188"
"2.2_2.7_4.8_80","2.2","2.7","4.8","80","24.04","353624"
"2.2_2.7_4.96_80","2.2","2.7","4.96","80","24.87","362122"
"2.2_2.7_5.1_80","2.2","2.7","5.1","80","25.6","369558"
"2.2_2.7_5.26_80","2.2","2.7","5.26","80","26.43","378057"
"2.2_2.7_5.4_80","2.2","2.7","5.4","80","27.15","385492"
"2.2_2.7_5.56_80","2.2","2.7","5.56","80","27.98","393991"
"2.2_2.7_5.7_80","2.2","2.7","5.7","80","28.71","401426"
"2.2_2.7_5.86_80","2.2","2.7","5.86","80","29.54","409925"
"2.2_2.7_6_80","2.2","2.7","6","80","30.26","417360"
"2.2_2.7_6.16_80","2.2","2.7","6.16","80","31.09","425859"
"2.2_2.7_6.3_80","2.2","2.7","6.3","80","31.82","433295"
"2.2_2.86_2.86_80","2.2","2.86","2.86","80","14.87","259364"
"2.2_2.86_3_80","2.2","2.86","3","80","15.64","267047"
"2.2_2.86_3.16_80","2.2","2.86","3.16","80","16.52","275828"
"2.2_2.86_3.3_80","2.2","2.86","3.3","80","17.3","283512"
"2.2_2.86_3.46_80","2.2","2.86","3.46","80","18.18","294093"
"2.2_2.86_3.6_80","2.2","2.86","3.6","80","18.95","299976"
"2.2_2.86_3.76_80","2.2","2.86","3.76","80","19.83","311941"
"2.2_2.86_3.9_80","2.2","2.86","3.9","80","20.6","316441"
"2.2_2.86_4.06_80","2.2","2.86","4.06","80","21.48","325222"
"2.2_2.86_4.2_80","2.2","2.86","4.2","80","22.25","332905"
"2.2_2.86_4.36_80","2.2","2.86","4.36","80","23.13","347430"
"2.2_2.86_4.5_80","2.2","2.86","4.5","80","23.9","356373"
"2.2_2.86_4.66_80","2.2","2.86","4.66","80","24.79","364951"
"2.2_2.86_4.8_80","2.2","2.86","4.8","80","25.56","365872"
"2.2_2.86_4.96_80","2.2","2.86","4.96","80","26.44","382736"
"2.2_2.86_5.1_80","2.2","2.86","5.1","80","27.21","387016"
"2.2_2.86_5.26_80","2.2","2.86","5.26","80","28.09","394154"
"2.2_2.86_5.4_80","2.2","2.86","5.4","80","28.86","398762"
"2.2_2.86_5.56_80","2.2","2.86","5.56","80","29.74","407543"
"2.2_2.86_5.7_80","2.2","2.86","5.7","80","30.51","415227"
"2.2_2.86_5.86_80","2.2","2.86","5.86","80","31.4","424007"
"2.2_2.86_6_80","2.2","2.86","6","80","32.17","431691"
"2.2_2.86_6.16_80","2.2","2.86","6.16","80","33.05","440472"
"2.2_2.86_6.3_80","2.2","2.86","6.3","80","33.82","448155"
"2.2_2.86_6.46_80","2.2","2.86","6.46","80","34.7","456936"
"2.2_2.86_3_80","2.2","2.86","3","80","16.45","274948"
"2.2_2.86_3.16_80","2.2","2.86","3.16","80","17.38","283976"
"2.2_2.86_3.3_80","2.2","2.86","3.3","80","18.19","291876"
"2.2_2.86_3.46_80","2.2","2.86","3.46","80","19.12","300905"
"2.2_2.86_3.6_80","2.2","2.86","3.6","80","19.93","308804"
"2.2_2.86_3.76_80","2.2","2.86","3.76","80","20.86","317833"
"2.2_2.86_3.9_80","2.2","2.86","3.9","80","21.67","325733"
"2.2_2.86_4.06_80","2.2","2.86","4.06","80","22.6","334761"
"2.2_2.86_4.2_80","2.2","2.86","4.2","80","23.41","342661"
"2.2_2.86_4.36_80","2.2","2.86","4.36","80","24.33","351689"
"2.2_2.86_4.5_80","2.2","2.86","4.5","80","25.14","359589"
"2.2_2.86_4.66_80","2.2","2.86","4.66","80","26.07","368617"
"2.2_2.86_4.8_80","2.2","2.86","4.8","80","26.88","376517"
"2.2_2.86_4.96_80","2.2","2.86","4.96","80","27.81","385546"
"2.2_2.86_5.1_80","2.2","2.86","5.1","80","28.62","393446"
"2.2_2.86_5.26_80","2.2","2.86","5.26","80","29.55","402474"
"2.2_2.86_5.4_80","2.2","2.86","5.4","80","30.36","410374"
"2.2_2.86_5.56_80","2.2","2.86","5.56","80","31.29","419402"
"2.2_2.86_5.7_80","2.2","2.86","5.7","80","32.1","427302"
"2.2_2.86_5.86_80","2.2","2.86","5.86","80","33.02","436330"
"2.2_2.86_6_80","2.2","2.86","6","80","33.83","444230"
"2.2_2.86_6.16_80","2.2","2.86","6.16","80","34.76","453259"
"2.2_2.86_6.3_80","2.2","2.86","6.3","80","35.57","461158"
"2.2_2.86_6.46_80","2.2","2.86","6.46","80","36.5","470187"
"2.2_2.86_6.6_80","2.2","2.86","6.6","80","37.31","478087"
"2.2_3.16_3.16_80","2.2","3.16","3.16","80","18.36","295297"
"2.2_3.16_3.3_80","2.2","3.16","3.3","80","19.22","301435"
"2.2_3.16_3.46_80","2.2","3.16","3.46","80","20.2","310746"
"2.2_3.16_3.6_80","2.2","3.16","3.6","80","21.05","318893"
"2.2_3.16_3.76_80","2.2","3.16","3.76","80","22.03","328204"
"2.2_3.16_3.9_80","2.2","3.16","3.9","80","22.89","336352"
"2.2_3.16_4.06_80","2.2","3.16","4.06","80","23.87","345663"
"2.2_3.16_4.2_80","2.2","3.16","4.2","80","24.72","353810"
"2.2_3.16_4.36_80","2.2","3.16","4.36","80","25.7","363121"
"2.2_3.16_4.5_80","2.2","3.16","4.5","80","26.56","371268"
"2.2_3.16_4.66_80","2.2","3.16","4.66","80","27.54","380579"
"2.2_3.16_4.8_80","2.2","3.16","4.8","80","28.4","388727"
"2.2_3.16_4.96_80","2.2","3.16","4.96","80","29.38","398038"
"2.2_3.16_5.1_80","2.2","3.16","5.1","80","30.23","406185"
"2.2_3.16_5.26_80","2.2","3.16","5.26","80","31.21","415496"
"2.2_3.16_5.4_80","2.2","3.16","5.4","80","32.07","423644"
"2.2_3.16_5.56_80","2.2","3.16","5.56","80","33.05","432955"
"2.2_3.16_5.7_80","2.2","3.16","5.7","80","33.9","441102"
"2.2_3.16_5.86_80","2.2","3.16","5.86","80","34.88","450413"
"2.2_3.16_6_80","2.2","3.16","6","80","35.74","458560"
"2.2_3.16_6.16_80","2.2","3.16","6.16","80","36.72","487277"
"2.2_3.16_6.3_80","2.2","3.16","6.3","80","37.58","476019"
"2.2_3.16_6.46_80","2.2","3.16","6.46","80","38.56","485330"
"2.2_3.16_6.6_80","2.2","3.16","6.6","80","39.41","493477"
"2.2_3.16_6.76_80","2.2","3.16","6.76","80","40.39","521339"
"2.2_3.16_6.9_80","2.2","3.16","6.9","80","41.25","527597"
"2.2_3.3_3.3_80","2.2","3.3","3.3","80","20.11","309798"
"2.2_3.3_3.46_80","2.2","3.3","3.46","80","21.14","319357"
"2.2_3.3_3.6_80","2.2","3.3","3.6","80","22.04","327721"
"2.2_3.3_3.76_80","2.2","3.3","3.76","80","23.06","337279"
"2.2_3.3_3.9_80","2.2","3.3","3.9","80","23.96","345643"
"2.2_3.3_4.06_80","2.2","3.3","4.06","80","24.98","355202"
"2.2_3.3_4.2_80","2.2","3.3","4.2","80","25.88","363565"
"2.2_3.3_4.36_80","2.2","3.3","4.36","80","26.9","373124"
"2.2_3.3_4.5_80","2.2","3.3","4.5","80","27.8","381488"
"2.2_3.3_4.66_80","2.2","3.3","4.66","80","28.83","391046"
"2.2_3.3_4.8_80","2.2","3.3","4.8","80","29.72","399410"
"2.2_3.3_4.96_80","2.2","3.3","4.96","80","30.75","408969"
"2.2_3.3_5.1_80","2.2","3.3","5.1","80","31.64","417332"
"2.2_3.3_5.26_80","2.2","3.3","5.26","80","32.67","426891"
"2.2_3.3_5.4_80","2.2","3.3","5.4","80","33.57","435255"
"2.2_3.3_5.56_80","2.2","3.3","5.56","80","34.59","444813"
"2.2_3.3_5.7_80","2.2","3.3","5.7","80","35.49","453177"
"2.2_3.3_5.86_80","2.2","3.3","5.86","80","36.51","462735"
"2.2_3.3_6_80","2.2","3.3","6","80","37.41","471099"
"2.2_3.3_6.16_80","2.2","3.3","6.16","80","38.43","480658"
"2.2_3.3_6.3_80","2.2","3.3","6.3","80","39.33","489021"
"2.2_3.3_6.46_80","2.2","3.3","6.46","80","40.36","504491"
"2.2_3.3_6.6_80","2.2","3.3","6.6","80","41.25","512855"
"2.2_3.3_6.76_80","2.2","3.3","6.76","80","42.28","522414"
"2.2_3.3_6.9_80","2.2","3.3","6.9","80","43.17","530778"
